Date,Business,Spending
2020-01-01,fbk,14.330808328454841
2020-01-02,fbk,21.92159596699824
2020-01-03,fbk,27.482768881852607
2020-01-04,fbk,18.22308851418773
2020-01-05,fbk,16.062332295356594
2020-01-06,fbk,17.70280546136358
2020-01-07,fbk,19.704156142625195
2020-01-08,fbk,18.22913249370432
2020-01-09,fbk,16.322384726316482
2020-01-10,fbk,14.080300568161945
2020-01-11,fbk,21.194470670709673
2020-01-12,fbk,17.05039868967645
2020-01-13,fbk,12.797074407589164
2020-01-14,fbk,23.868515542452577
2020-01-15,fbk,14.860163348454822
2020-01-16,fbk,19.54506875147382
2020-01-17,fbk,22.46001501370872
2020-01-18,fbk,22.123361006939273
2020-01-19,fbk,26.415244076876174
2020-01-20,fbk,21.579932270649667
2020-01-21,fbk,17.959588989551417
2020-01-22,fbk,19.660262033327335
2020-01-23,fbk,15.23786670906443
2020-01-24,fbk,19.446612987778845
2020-01-25,fbk,22.85297146481213
2020-01-26,fbk,24.57710085807217
2020-01-27,fbk,11.653297462761229
2020-01-28,fbk,22.41356822158578
2020-01-29,fbk,18.44763664713742
2020-01-30,fbk,31.97344865306595
2020-01-31,fbk,27.75465459387754
2020-02-01,fbk,16.76767411540203
2020-02-02,fbk,15.355313818211483
2020-02-03,fbk,11.725119276016194
2020-02-04,fbk,21.75096251521576
2020-02-05,fbk,19.291217421977446
2020-02-06,fbk,22.60540893666081
2020-02-07,fbk,19.895495678652164
2020-02-08,fbk,11.280780257338002
2020-02-09,fbk,16.004205621910028
2020-02-10,fbk,13.48214784763898
2020-02-11,fbk,20.890525007641386
2020-02-12,fbk,18.327988185925502
2020-02-13,fbk,18.469864350772596
2020-02-14,fbk,18.337972128286992
2020-02-15,fbk,29.81473669903508
2020-02-16,fbk,23.596212462251138
2020-02-17,fbk,25.71443255541796
2020-02-18,fbk,30.414384845100404
2020-02-19,fbk,13.576761234826995
2020-02-20,fbk,22.6906380492565
2020-02-21,fbk,19.77730296185456
2020-02-22,fbk,32.985821857879614
2020-02-23,fbk,19.70866859148281
2020-02-24,fbk,15.273565020299198
2020-02-25,fbk,22.705861944029472
2020-02-26,fbk,19.724955565963675
2020-02-27,fbk,25.60010404329373
2020-02-28,fbk,19.0417852484096
2020-02-29,fbk,16.949307890636284
2020-03-01,fbk,17.777105738500815
2020-03-02,fbk,8.979953512514069
2020-03-03,fbk,17.846647581312332
2020-03-04,fbk,17.87453270767393
2020-03-05,fbk,20.73645996579279
2020-03-06,fbk,22.12462136129846
2020-03-07,fbk,21.7362887198706
2020-03-08,fbk,18.618822273179074
2020-03-09,fbk,13.988521886260692
2020-03-10,fbk,25.155116517474166
2020-03-11,fbk,23.616594758378348
2020-03-12,fbk,27.163893625659618
2020-03-13,fbk,23.047534330719476
2020-03-14,fbk,17.079222279653635
2020-03-15,fbk,19.2106251266123
2020-03-16,fbk,18.185234176774905
2020-03-17,fbk,21.34034327428954
2020-03-18,fbk,23.109937106348873
2020-03-19,fbk,21.19084683031353
2020-03-20,fbk,16.254082205301682
2020-03-21,fbk,18.605092749907833
2020-03-22,fbk,23.508110735350524
2020-03-23,fbk,22.996722651532913
2020-03-24,fbk,21.077038484005445
2020-03-25,fbk,26.499333293890555
2020-03-26,fbk,16.981829988748952
2020-03-27,fbk,21.261219036874508
2020-03-28,fbk,24.157583961121997
2020-03-29,fbk,18.154056516812457
2020-03-30,fbk,14.85031919678068
2020-03-31,fbk,16.762088805406492
2020-04-01,fbk,30.74633552775226
2020-04-02,fbk,9.314882763701691
2020-04-03,fbk,22.332094671401553
2020-04-04,fbk,18.455727081209808
2020-04-05,fbk,30.515612236825532
2020-04-06,fbk,14.748013384258744
2020-04-07,fbk,19.364431829021516
2020-04-08,fbk,12.079347247671723
2020-04-09,fbk,16.944627805420364
2020-04-10,fbk,20.518597041569226
2020-04-11,fbk,19.83245355453324
2020-04-12,fbk,23.382262080150845
2020-04-13,fbk,14.738756947467403
2020-04-14,fbk,13.140177109878657
2020-04-15,fbk,22.228313247956716
2020-04-16,fbk,11.817920111780055
2020-04-17,fbk,16.959714825463273
2020-04-18,fbk,19.134303786086065
2020-04-19,fbk,15.371958413766336
2020-04-20,fbk,24.56328897365141
2020-04-21,fbk,26.27977045932255
2020-04-22,fbk,21.122329958943105
2020-04-23,fbk,17.59790156445939
2020-04-24,fbk,22.31394177570074
2020-04-25,fbk,18.64854195205803
2020-04-26,fbk,18.081528658755413
2020-04-27,fbk,26.059337915621086
2020-04-28,fbk,17.553781099664732
2020-04-29,fbk,22.592744421275867
2020-04-30,fbk,7.333678748387548
2020-05-01,fbk,23.25974552162537
2020-05-02,fbk,14.842320227626562
2020-05-03,fbk,20.01385846346741
2020-05-04,fbk,26.12776885914785
2020-05-05,fbk,20.221430600043124
2020-05-06,fbk,20.872954560968573
2020-05-07,fbk,17.179553450099696
2020-05-08,fbk,19.566726763562325
2020-05-09,fbk,21.98025486814248
2020-05-10,fbk,14.30855302600767
2020-05-11,fbk,23.185456747832426
2020-05-12,fbk,23.913339696701456
2020-05-13,fbk,26.60143314724138
2020-05-14,fbk,19.188934055478548
2020-05-15,fbk,11.690421605956521
2020-05-16,fbk,23.152015158150334
2020-05-17,fbk,18.01475105363309
2020-05-18,fbk,16.564352400244672
2020-05-19,fbk,15.13354249806931
